                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.59,                 3.5926,                 1.3497,                0.43702,                0.33355,                0.30468,                0.17438,                 1.4742,                 2.7668,                 1.2854,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.4589,                 1.9044,                 1.2388,                 0.4994,                0.44727,                0.43364,                0.24096,                 1.5904,                 2.3537,                 1.3803,             0.00049005,             0.00049005,             0.00049005
                      3,                 1.4843,                 1.5936,                  1.235,                0.44248,                0.46829,                0.41711,                0.21183,                 1.6491,                 2.2398,                 1.3943,             0.00072459,             0.00072459,             0.00072459
                      4,                 1.4588,                  1.472,                 1.2338,                 0.4987,                0.41002,                0.41192,                0.22404,                 1.6321,                 2.2734,                  1.404,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.4518,                 1.4084,                 1.2343,                0.58985,                0.49001,                0.48592,                0.27277,                 1.5819,                 1.6705,                 1.3832,             0.00085501,             0.00085501,             0.00085501
                      6,                 1.4506,                 1.3231,                 1.2338,                 0.6026,                0.45377,                0.48097,                0.27371,                 1.6613,                 1.6812,                 1.4136,             0.00083701,             0.00083701,             0.00083701
                      7,                  1.408,                 1.2611,                 1.2117,                0.69979,                0.58588,                0.58578,                 0.3322,                 1.5908,                 1.5081,                 1.3815,             0.00081901,             0.00081901,             0.00081901
                      8,                 1.3893,                 1.2746,                 1.2191,                0.71832,                0.58914,                0.62958,                0.35662,                 1.5733,                 1.4621,                 1.3627,             0.00080101,             0.00080101,             0.00080101
                      9,                 1.3856,                 1.1461,                 1.1937,                0.72914,                0.57511,                0.62298,                 0.3485,                 1.5613,                 1.3717,                 1.3575,             0.00078301,             0.00078301,             0.00078301
                     10,                 1.3875,                 1.1065,                   1.19,                 0.6265,                0.62736,                0.64815,                0.36273,                 1.5581,                 1.3116,                 1.3387,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.3526,                 1.1039,                  1.183,                0.71431,                 0.5949,                0.64834,                0.37824,                 1.5566,                 1.3252,                 1.3024,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.3209,                 1.0583,                 1.1848,                0.69665,                0.62451,                0.68166,                0.38841,                 1.5341,                 1.1892,                  1.321,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.3025,                 1.0022,                 1.1439,                0.69496,                0.60723,                0.66391,                0.38137,                 1.5499,                 1.2177,                 1.3337,             0.00071102,             0.00071102,             0.00071102
                     14,                 1.2844,                0.97151,                 1.1582,                0.68323,                0.60949,                0.67334,                0.39783,                 1.5179,                 1.1907,                  1.303,             0.00069302,             0.00069302,             0.00069302
                     15,                 1.2625,                0.95064,                 1.1382,                0.71521,                0.65857,                0.69263,                0.41281,                 1.4997,                 1.1547,                 1.2932,             0.00067502,             0.00067502,             0.00067502
                     16,                 1.2562,                0.94196,                 1.1296,                0.78654,                0.66053,                0.73657,                 0.4261,                 1.4888,                 1.0891,                 1.2824,             0.00065703,             0.00065703,             0.00065703
                     17,                 1.2186,                0.89768,                 1.1156,                0.72313,                0.69178,                 0.6937,                0.39374,                 1.5079,                 1.1858,                  1.316,             0.00063903,             0.00063903,             0.00063903
                     18,                 1.2312,                0.91375,                 1.1151,                0.76383,                0.61384,                0.69899,                  0.404,                 1.5121,                 1.1465,                 1.3172,             0.00062103,             0.00062103,             0.00062103
                     19,                 1.2333,                0.89899,                 1.1183,                0.73577,                 0.6805,                 0.7312,                0.43847,                 1.5002,                 1.1063,                 1.2863,             0.00060303,             0.00060303,             0.00060303
                     20,                 1.1826,                0.84271,                 1.0911,                 0.7693,                0.63592,                0.70022,                 0.4208,                 1.5117,                 1.1219,                 1.3129,             0.00058503,             0.00058503,             0.00058503
                     21,                 1.2302,                0.84609,                 1.1091,                0.78345,                0.66143,                0.72352,                0.43217,                 1.4901,                 1.0759,                 1.2932,             0.00056703,             0.00056703,             0.00056703
                     22,                 1.1687,                0.80734,                 1.0911,                0.75585,                0.68666,                0.71614,                0.42952,                 1.4903,                 1.1432,                 1.2964,             0.00054904,             0.00054904,             0.00054904
                     23,                  1.157,                0.80145,                 1.0875,                0.73613,                0.67975,                0.71285,                0.41151,                 1.4828,                 1.1239,                 1.2932,             0.00053104,             0.00053104,             0.00053104
                     24,                 1.1678,                0.78685,                 1.0841,                0.72825,                0.69728,                0.73942,                 0.4411,                 1.4811,                 1.0737,                 1.2871,             0.00051304,             0.00051304,             0.00051304
                     25,                 1.1488,                0.77674,                 1.0726,                0.75313,                 0.6697,                0.73638,                0.45094,                 1.4783,                   1.07,                 1.2835,             0.00049504,             0.00049504,             0.00049504
                     26,                 1.1286,                0.76902,                 1.0643,                0.75661,                 0.6764,                0.74381,                0.45447,                 1.5008,                 1.0449,                 1.3001,             0.00047704,             0.00047704,             0.00047704
                     27,                 1.1146,                0.72228,                 1.0616,                0.78074,                0.71247,                0.75328,                0.46574,                 1.4748,                 1.0338,                  1.276,             0.00045904,             0.00045904,             0.00045904
                     28,                 1.1123,                0.72595,                 1.0569,                0.74137,                0.71802,                0.75834,                  0.467,                 1.4636,                 1.0138,                 1.2692,             0.00044105,             0.00044105,             0.00044105
                     29,                 1.1141,                0.72044,                 1.0523,                0.74205,                0.74052,                0.75669,                0.46066,                 1.4697,                0.98684,                  1.275,             0.00042305,             0.00042305,             0.00042305
                     30,                  1.084,                0.69692,                  1.049,                0.75786,                0.68223,                0.75863,                0.46528,                 1.4715,                 1.0098,                 1.2803,             0.00040505,             0.00040505,             0.00040505
                     31,                 1.0614,                 0.6865,                 1.0391,                0.80521,                0.66014,                0.75421,                0.44897,                 1.5067,                 1.0143,                 1.3034,             0.00038705,             0.00038705,             0.00038705
                     32,                   1.07,                0.68217,                 1.0444,                0.80321,                0.69806,                0.76572,                0.46687,                 1.4804,                 1.0014,                 1.2738,             0.00036905,             0.00036905,             0.00036905
                     33,                 1.0791,                0.67495,                 1.0463,                0.76364,                0.70504,                0.74975,                0.46096,                 1.4587,                 1.0159,                 1.2676,             0.00035106,             0.00035106,             0.00035106
                     34,                 1.0534,                 0.6458,                 1.0295,                0.81349,                0.66035,                0.74456,                0.45086,                 1.4531,                 1.0154,                  1.262,             0.00033306,             0.00033306,             0.00033306
                     35,                  1.006,                0.62733,                 1.0144,                0.82064,                0.71913,                 0.7849,                 0.4782,                 1.4659,                0.98266,                  1.273,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.0331,                0.63032,                 1.0237,                0.83871,                0.69391,                0.77879,                0.47373,                 1.4792,                0.96808,                 1.2761,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.0323,                 0.6355,                 1.0199,                 0.7803,                0.72278,                 0.7781,                0.47962,                  1.474,                 0.9777,                 1.2837,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.0067,                0.62141,                 1.0144,                0.79066,                0.71191,                0.77192,                0.48731,                 1.4261,                 0.9647,                 1.2579,             0.00026106,             0.00026106,             0.00026106
                     39,                 1.0005,                0.60881,                 1.0092,                0.79584,                0.70897,                0.76452,                0.47184,                 1.4431,                0.99679,                   1.27,             0.00024307,             0.00024307,             0.00024307
                     40,                0.96313,                 0.5853,                0.99703,                0.78431,                0.70913,                0.76495,                0.47795,                 1.4592,                 1.0024,                 1.2781,             0.00022507,             0.00022507,             0.00022507
                     41,                0.97853,                0.59336,                0.98923,                0.80487,                 0.6672,                0.75189,                0.45502,                 1.4835,                 1.0018,                 1.3002,             0.00020707,             0.00020707,             0.00020707
                     42,                0.94131,                0.55712,                0.97853,                0.75045,                0.70661,                0.73817,                0.45586,                 1.4965,                 1.0051,                 1.3033,             0.00018907,             0.00018907,             0.00018907
                     43,                0.93475,                0.53034,                0.97706,                 0.7628,                0.71749,                0.74474,                0.46399,                 1.4641,                 1.0044,                 1.2832,             0.00017107,             0.00017107,             0.00017107
                     44,                 0.9125,                0.52374,                0.97221,                0.73968,                0.73863,                0.76239,                0.46977,                 1.4762,                 1.0055,                 1.2819,             0.00015308,             0.00015308,             0.00015308
                     45,                0.90421,                0.52084,                 0.9637,                0.74819,                0.74112,                0.76647,                 0.4702,                 1.4813,                0.99415,                 1.2814,             0.00013508,             0.00013508,             0.00013508
                     46,                0.89941,                0.50413,                0.95568,                0.81111,                0.67604,                0.76732,                0.47974,                 1.4562,                0.99845,                 1.2735,             0.00011708,             0.00011708,             0.00011708
                     47,                0.88736,                 0.5053,                0.95975,                 0.8172,                0.68939,                0.77533,                0.48411,                 1.4468,                0.96653,                 1.2683,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                 0.8727,                0.48969,                0.95232,                 0.8033,                0.70243,                0.77791,                0.48199,                 1.4683,                0.98363,                 1.2772,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.87878,                0.48786,                0.94767,                0.81105,                0.70161,                0.77344,                 0.4796,                 1.4804,                0.99435,                 1.2856,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.86339,                0.47726,                0.94762,                 0.8061,                 0.7205,                0.77705,                0.48339,                 1.4816,                 0.9942,                 1.2857,             4.5086e-05,             4.5086e-05,             4.5086e-05
